,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,220605,1897,1820,1963,2384,600,1335,506,1602,1229,1253,1277,1876,1501,1853,4187,1355,3267,761,2588,1635,1319,3214,544,1130,3191,1071,937,1436,3065,2195,1574,1217,1490,972,1912,1162,5027,2425,559,1311,1669,5627,5513,1496,1759,3058,4256,4903,1263,1080,3070
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,20,0,1036,20,0,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,35,0,0,58,0,0,0,0,0,21,18,0,194,0,0,0,0,0,0,0
3,917,0,468,915,314,45,613,197,413,25,17,0,0,877,0,0,29,25,0,0,1002,0,5,620,43,176,43,32,254,0,255,429,670,0,0,286,62,75,0,745,41,241,79,33,1282,1915,0,96,676,90,78,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,765,23,239,85,137,2931,382,2051,21,0,794,0,0,595,0,0,59,23,0,0,58,0,13,180,0,0,24,56,155,0,299,755,0,0,0,103,640,95,0,1157,2,75,206,103,842,322,0,0,1276,855,3548,76
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
7,1,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0
8,8,0,22,138,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,25,0,0,0,3,0,0,15,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,709,74,809,499,11,274,304,361,493,7,2106,0,33,52,0,0,0,0,77,0,35,0,257,307,5,0,0,0,327,0,1361,86,60,0,0,98,291,45,0,15,759,0,32,42,40,124,0,118,101,438,258,450
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,0,0,0,25,8,33,20,0,0,3,0,0,0,0,0,0,1,0,0,6,0,0,20,0,0,0,8,0,0,0,27,0,0,0,2,11,8,0,9,0,9,0,0,0,4,0,0,1,20,15,0
13,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,0,0,33,0,0,0,8,0,4,0,0,0,0,0,14,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,749,1,267,393,12,17,198,59,249,0,120,0,31,111,0,6,300,22,0,0,213,70,0,401,0,172,65,65,262,0,1336,360,158,0,0,158,9,77,8,96,288,102,32,82,65,102,0,315,381,14,29,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,120,0,46,0,0,4,0,65,43,0,0,0,0,8,0,0,0,0,0,0,398,0,0,0,0,4,0,0,6,0,0,0,0,0,0,8,0,0,0,161,0,13,6,0,314,118,0,0,26,30,6,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
