,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1830,0,152,108,387,50,592,179,131,146,1310,0,244,0,0,0,37,35,1,8,180,0,4,1122,17,42,35,131,230,0,4548,787,0,0,0,105,67,129,0,17,1020,0,27,82,17,22,700,208,384,151,100,645
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,19,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,8,0,0,2,6,0,0,0,0,0,0
33,2485,174,0,0,0,0,8,0,0,0,0,16,0,0,0,0,25,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,843,428,0,174,0,0,0,0,0,38,0,0,0,0,0,0,164,0,0
34,537,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,18,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,198,59,0,0,0,0,182,206,0,0,15,0,0,13,0,0,0,0,0,0,11,0,19,0,0,0,0,0,5,0,0,0,0,0,0,0,209,41,0,3,0,0,0,0,0,0,0,0,30,387,20,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,8,0,0,0,0,0,0,0
40,4446,7,416,715,0,5,0,26,1476,405,2444,0,116,0,0,0,0,11,43,0,0,0,9,0,0,102,0,1,699,0,1877,0,0,0,0,222,0,0,0,0,3480,0,0,0,0,13,562,1213,0,0,0,532
41,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
42,25,62,0,0,0,3,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,69,0,0,1,29,0,0,0,0,120,1,0,2,0,0,83,0,4,0
43,743,0,55,52,74,0,0,11,146,0,0,0,36,40,0,2,23,0,0,25,156,0,76,14,84,129,54,0,38,0,0,0,31,20,0,27,26,129,45,57,0,35,510,2415,53,169,0,775,195,18,24,0
44,30,0,7,108,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,3,0,0,0,15,0,0,10,0,6,6,14,0,1,0,20,243,136,0,0,84,0,33,0
45,654,0,88,526,59,0,0,0,158,0,0,0,0,44,0,0,1,5,0,33,993,27,0,0,18,221,13,0,67,0,0,7,89,0,0,58,43,5,6,0,0,100,71,211,194,1634,0,231,122,50,112,0
46,100,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,896
47,201,0,333,183,84,3,0,3,144,0,8,0,0,29,2,0,0,0,0,0,40,0,4,0,101,98,15,0,106,0,0,0,47,0,0,90,0,8,0,14,0,56,296,374,36,22,0,1047,133,0,0,0
48,2030,163,0,15,120,76,193,69,26,25,28,11,71,13,80,0,292,55,0,0,156,54,32,344,102,21,86,114,11,111,165,399,12,2,0,34,147,1305,0,27,58,5,1121,226,12,13,0,24,2803,206,166,26
49,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
50,431,8,43,50,132,19,328,643,0,0,837,0,0,0,0,0,16,0,0,0,103,0,0,181,23,0,35,0,96,0,40,780,0,0,0,56,371,33,0,76,0,0,56,30,80,259,0,0,303,377,1682,0
51,958,23,0,0,0,0,0,0,34,51,0,22,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,12,0,0,28,0,0,178,0,0,0,67,0,0,0,0,0,867,7,0,183,0,2952
